cpg,chr,pos,t,P.Value,adj_pval,UCSC_RefGene_Name,Relation_to_Island
cg05575921,chr5,373378,-30.42394931145287,3.585755394600096e-87,1.6949076884087842e-81,AHRR,N_Shore
cg21566642,chr2,233284661,-21.022500249023647,9.021214015806023e-58,4.264120377349143e-52,,Island
cg21161138,chr5,399360,-16.77849313547795,3.5477096111334495e-43,1.6769171881521144e-37,AHRR,OpenSea
cg05951221,chr2,233284402,-15.380738289149976,2.7124455274315824e-38,1.2821051896787233e-32,,Island
cg12803068,chr7,45002919,15.083508601172936,2.9593650106789044e-37,1.3988148970576405e-31,MYO1G,S_Shore
cg22132788,chr7,45002486,14.576705024721882,1.7302109886654098e-35,8.178240186454452e-30,MYO1G,Island
cg03636183,chr19,17000585,-14.505088753082436,3.071887654815023e-35,1.4519952815767266e-29,F2RL3,N_Shore
cg01940273,chr2,233284934,-14.072283821880054,9.805121301994429e-34,4.634596490935009e-28,,Island
cg09935388,chr1,92947588,-13.976629103748232,2.104597956163381e-33,9.947803159397452e-28,GFI1;GFI1;GFI1,Island
cg23576855,chr5,373299,-12.419639913758244,4.672046106499951e-28,2.2083313611132256e-22,AHRR,N_Shore
cg03329539,chr2,233283329,-12.409763888403235,5.046706348154375e-28,2.3854165961694324e-22,,N_Shore
cg06126421,chr6,30720080,-11.950736125541953,1.7893489887558815e-26,8.457662184682763e-21,,OpenSea
cg26703534,chr5,377358,-11.855347971461603,3.7392511624441985e-26,1.7674168899478495e-20,AHRR,S_Shelf
cg25189904,chr1,68299493,-11.713990758589885,1.1112248443717148e-25,5.252370910649566e-20,GNG12,S_Shore
cg25648203,chr5,395444,-11.559606112440523,3.6351445428043687e-25,1.718201960180084e-19,AHRR,OpenSea
cg12876356,chr1,92946825,-10.980339546458579,2.968416738712513e-23,1.4030607609700725e-17,GFI1;GFI1;GFI1,Island
cg14817490,chr5,392920,-10.96882410883906,3.237443113326498e-23,1.5302163368311292e-17,AHRR,OpenSea
cg07826859,chr7,45020086,-10.306744800519208,4.4872965726475966e-21,2.1209700853241858e-15,MYO1G,OpenSea
cg02228160,chr5,143192067,10.212075021381155,8.995563609836041e-21,4.251843095825103e-15,HMHB1,OpenSea
cg04180046,chr7,45002736,9.631609851952394,6.029304737273578e-19,2.8498051478149924e-13,MYO1G,Island
cg09099830,chr16,30485485,-9.554612162230447,1.0446864836261316e-18,4.937794239777602e-13,ITGAL;ITGAL,Island
cg02714303,chr13,76334728,9.492886486629363,1.6207864006177017e-18,7.660760377567611e-13,LMO7;LMO7,OpenSea
cg18146737,chr1,92946700,-9.297245974963666,6.463637033035257e-18,3.0550768254863125e-12,GFI1;GFI1;GFI1,Island
cg16519923,chr16,30485810,-9.29528234708738,6.5535525974618154e-18,3.0975694029533144e-12,ITGAL;ITGAL,S_Shore
cg19827923,chr2,231790777,-9.226343722189547,1.0634913346280776e-17,5.026634332772994e-12,GPR55,OpenSea
cg19572487,chr17,38476024,-9.195046931846216,1.3241544186463135e-17,6.2586555843643604e-12,RARA;RARA;RARA,S_Shore
cg13940444,chr12,53617382,9.032913681216304,4.0984644592762043e-17,1.9371474236058164e-11,RARG,S_Shelf
cg19089201,chr7,45002287,8.986744705975996,5.643646809011754e-17,2.6674753079262143e-11,MYO1G,Island
cg13015710,chr12,125039343,8.963075146369096,6.647406084616818e-17,3.141896485894139e-11,,Island
cg12806681,chr5,368394,-8.7961303263793,2.0959640389317098e-16,9.906553070370337e-11,AHRR,N_Shore
cg14675361,chr13,76334583,8.78188479029874,2.3105717622662035e-16,1.0920871222915966e-10,LMO7;LMO7,OpenSea
cg16391678,chr16,30485597,-8.772357816192267,2.4661105079852044e-16,1.165599733267683e-10,ITGAL;ITGAL,Island
cg04982781,chr22,39714193,-8.75008272964949,2.871461425929395e-16,1.3571847571198248e-10,RPL3;RPL3;RNU86,N_Shore
cg19859270,chr3,98251294,-8.723368900435327,3.445471455262083e-16,1.6284848559723473e-10,GPR15,OpenSea
cg11902777,chr5,368843,-8.679714591078326,4.637817204356163e-16,2.1920364747357142e-10,AHRR,N_Shore
cg00931843,chr6,155442993,8.435394661193445,2.4116891561990115e-15,1.1398679978533694e-9,TIAM2,OpenSea
cg21611682,chr11,68138269,-8.424069022832654,2.6016375164718577e-15,1.2296431590602917e-9,LRP5,OpenSea
cg23161492,chr15,90357202,-8.40722582915566,2.9118457493578295e-15,1.376257686822234e-9,ANPEP,N_Shore
cg03450842,chr10,80834947,-8.398507640800311,3.0865247008787716e-15,1.4588150346233425e-9,ZMIZ1,OpenSea
cg08709672,chr1,206224334,-8.394457623938525,3.1711633866611062e-15,1.4988154919081185e-9,AVPR1B;AVPR1B,S_Shore
cg14781374,chr10,101998405,-8.362891943325753,3.9145612431720744e-15,1.850170396850363e-9,CWF19L1;SNORA12,OpenSea
cg15342087,chr6,30720209,-8.282830164412868,6.6653487580994025e-15,3.150290440981827e-9,,OpenSea
cg07178945,chr12,4488800,8.193222227835781,1.2052133222645933e-14,5.696272037818483e-9,FGF23;FGF23,OpenSea
cg01440841,chr4,154681066,8.170537248865665,1.3993915080569896e-14,6.614014054105153e-9,RNF175;RNF175,Island
cg10691866,chr7,65817282,-8.153553208186384,1.5647496011113663e-14,7.395538629716695e-9,TPST1,OpenSea
cg04885881,chr1,11123118,-8.1503786117929,1.5977361648573628e-14,7.5514283680503e-9,,S_Shelf
cg17507897,chr20,17943694,-8.14722275061511,1.6312098989628028e-14,7.709619969665875e-9,SNX5;SNORD17;SNX5,OpenSea
cg11183632,chr20,21503152,8.119879523581307,1.95185505600142e-14,9.225072069730071e-9,,Island
cg12459932,chr1,25292018,-8.035997822232789,3.377646928080609e-14,1.596377267618738e-8,RUNX3,OpenSea
cg08354053,chr17,30630872,-7.998802699602301,4.303008775787739e-14,2.0337267346917833e-8,RHBDL3,OpenSea
cg10520740,chr12,1952798,-7.990480513432246,4.542160637548191e-14,2.1467522978031265e-8,CACNA2D4,OpenSea
cg12623536,chr10,73848817,7.973401147925447,5.074892996534739e-14,2.3985314522732242e-8,SPOCK2;SPOCK2,S_Shore
cg08874609,chr5,126626360,7.961626955955179,5.4776722183926496e-14,2.5888903098900444e-8,MEGF10,Island
cg10919522,chr14,74227441,-7.9607699219476125,5.5081948658580943e-14,2.6033105984761817e-8,C14orf43;C14orf43,S_Shore
cg01603973,chr17,33672921,7.935467020316991,6.489187467760372e-14,3.066945737762778e-8,,OpenSea
cg06000994,chr19,30866194,7.912873795157125,7.509966742775122e-14,3.549383011870607e-8,ZNF536,Island
cg09287629,chr2,203036208,7.901749218614945,8.069381901889367e-14,3.8137674132347564e-8,,Island
cg04869854,chr11,67186575,7.889253915197169,8.746953039346288e-14,4.133993692408882e-8,ATPGD1;ATPGD1,N_Shore
cg19678828,chr21,27945413,7.858423834044999,1.0668821102187535e-13,5.042298229315873e-8,CYYR1;CYYR1,Island
cg20309891,chr17,41739130,-7.854837754302965,1.0917851287621581e-13,5.159983957704424e-8,MEOX1;MEOX1;MEOX1,OpenSea
cg18316974,chr1,92947035,-7.853115780134339,1.1039464712198835e-13,5.217449733349989e-8,GFI1;GFI1;GFI1,Island
cg09560590,chr5,143191663,7.798479581626035,1.567725121012635e-13,7.409335435176286e-8,HMHB1,OpenSea
cg21647257,chr19,36523945,7.791937618245465,1.6348076347968831e-13,7.726362451271637e-8,CLIP3,S_Shore
cg24090911,chr5,400732,-7.779307213325728,1.7724469627074001e-13,8.376850212799579e-8,AHRR,OpenSea
cg14580211,chr5,150161299,-7.765671308545204,1.933913381207383e-13,9.139945387459462e-8,C5orf62,S_Shelf
cg21393163,chr1,12217629,-7.764940842491195,1.9429617456583608e-13,9.182689795008348e-8,,OpenSea
cg22851561,chr14,74214183,-7.745995952852518,2.192814494570978e-13,1.0363504439081791e-7,C14orf43;C14orf43,OpenSea
cg04086928,chr9,134612644,-7.734222640841813,2.363813621958334e-13,1.1171643196873502e-7,RAPGEF1,OpenSea
cg21836358,chr1,63790202,7.703616494855877,2.872452227727451e-13,1.3575496473462706e-7,FOXD3;FOXD3,Island
cg19799702,chr7,2757342,7.679163915222683,3.355303057312496e-13,1.5857464226134016e-7,,N_Shore
cg09077126,chr10,72015695,7.669091521905034,3.576763380544959e-13,1.6904069877525921e-7,NPFFR1,Island
cg07094298,chr4,2748026,-7.65798134261997,3.8378101527363043e-13,1.8137759428542465e-7,TNIP2;TNIP2,OpenSea
cg00830621,chr16,18799106,-7.6337515960558555,4.4741565819116434e-13,2.1145132455509342e-7,RPS15A;RPS15A,N_Shelf
cg26024843,chr9,137533949,7.633434159246462,4.483149667364501e-13,2.1187589485448e-7,COL5A1;COL5A1,Island
cg09662411,chr1,92946132,-7.632026355310143,4.5232488227342974e-13,2.13770548661952e-7,GFI1;GFI1;GFI1,Island
cg26529655,chr5,424371,-7.61575953085367,5.013078066671687e-13,2.3691957335432393e-7,AHRR,S_Shelf
cg24727311,chr8,13424269,7.614091429090225,5.066176723951803e-13,2.39428525209307e-7,C8orf48,OpenSea
cg06235438,chr16,30485966,-7.58129761111386,6.230408962768737e-13,2.9444975062134683e-7,ITGAL;ITGAL,S_Shore
cg24082174,chr3,186503643,-7.574516732308315,6.502242007613964e-13,3.072959572798359e-7,SNORA63;MIR1248;EIF4A2;SNORA81,S_Shore
cg17988310,chr22,40355732,7.564414021226647,6.929099060204093e-13,3.274685286753394e-7,GRAP2,OpenSea
cg03065503,chr4,4442273,-7.543999996538384,7.877823523376099e-13,3.723043641500498e-7,STX18,OpenSea
cg16145216,chr1,42385662,7.5383966453859585,8.159945051659754e-13,3.856365551579245e-7,HIVEP3;HIVEP3,S_Shore
cg13393978,chr7,79081670,7.526620053605062,8.785792366208965e-13,4.152130329100892e-7,MAGI2,Island
cg10281768,chr17,78720226,-7.5208977834453705,9.106769509507892e-13,4.303813736345882e-7,RPTOR;RPTOR,Island
cg06970090,chr10,73848823,7.517725205980946,9.28968735893632e-13,4.390250507709151e-7,SPOCK2;SPOCK2,S_Shore
cg12103569,chr12,132258560,7.516660774331681,9.351866966071841e-13,4.4196268650967897e-7,SFRS8,OpenSea
cg01899089,chr5,369969,-7.506332709497553,9.976927325805567e-13,4.7150160387571046e-7,AHRR,N_Shore
cg23916896,chr5,368804,-7.498221092572702,1.0496602919690001e-12,4.960600070419218e-7,AHRR,N_Shore
cg13790810,chr17,55540412,-7.495815406366097,1.065579836641527e-12,5.035823749984193e-7,MSI2;MSI2,OpenSea
cg27545630,chr16,2013058,-7.491235720582178,1.0965471964609823e-12,5.182161430282991e-7,SNORA64;SNORA10;RPS2,N_Shore
cg08972170,chr7,30185776,7.489641272002372,1.1075358096755772e-12,5.234081332229617e-7,C7orf41,OpenSea
